City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Merritt Island,US,28.5392,-80.672,52.03,81,0,8.05,clear sky
313,Tessalit,ML,20.1986,1.0114,62.26,31,100,9.48,overcast clouds
314,Boddam,GB,57.4667,-1.7833,43.18,85,81,14.38,broken clouds
315,Alberton,CA,46.8168,-64.0654,17.51,65,73,18.28,broken clouds
316,Sinamar,PH,16.9,121.5667,69.08,94,100,3.36,overcast clouds
317,Laguna,US,38.421,-121.4238,52.09,94,0,6.91,clear sky
318,Siavonga,ZM,-16.5382,28.7088,78.53,52,42,5.21,scattered clouds
319,Limbang,MY,4.75,115.0,86.05,63,100,4.29,moderate rain
320,Auki,SB,-8.7676,160.7034,81.93,83,89,8.16,overcast clouds
321,San Patricio,US,28.017,-97.5169,58.84,85,39,6.73,scattered clouds
322,Vao,NC,-22.6667,167.4833,78.44,81,100,11.03,light rain
323,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,65,100,14.0,overcast clouds
324,Khatanga,RU,71.9667,102.5,-39.23,100,98,1.59,overcast clouds
325,Amherst Center,US,42.3754,-72.5192,23.79,88,31,1.14,scattered clouds
326,Altrincham,GB,53.3875,-2.3485,44.6,89,93,5.99,overcast clouds
327,Coquimbo,CL,-29.9533,-71.3436,62.33,94,0,4.61,clear sky
328,Abu Samrah,SY,35.3029,37.1841,46.06,82,2,5.3,clear sky
329,Lewistown,US,40.5992,-77.5714,30.72,93,100,0.0,light intensity drizzle
330,Severomuysk,RU,56.1481,113.4267,-3.77,81,70,4.7,broken clouds
331,Boueni,YT,-12.9025,45.0761,85.98,69,50,2.73,light rain
332,Taybad,IR,34.74,60.7756,41.97,76,83,8.25,broken clouds
333,Te Anau,NZ,-45.4167,167.7167,72.23,52,0,7.07,clear sky
334,Madras,IN,13.0878,80.2785,87.78,66,40,5.75,scattered clouds
335,Teya,RU,60.3778,92.6267,13.05,95,100,2.46,light snow
336,Weyburn,CA,49.6668,-103.8511,21.31,98,100,14.83,overcast clouds
337,Litovko,RU,49.2361,135.1742,10.13,95,100,3.6,overcast clouds
338,Lucapa,AO,-8.4192,20.7447,69.91,92,97,0.92,light rain
339,Bekhtery,UA,46.251,32.2927,39.65,62,11,17.11,few clouds
340,Ust-Maya,RU,60.4167,134.5333,-28.79,100,100,1.14,overcast clouds
341,Kaeo,NZ,-35.1,173.7833,72.32,73,35,4.83,scattered clouds
342,Bereda,ES,43.2686,-7.5406,46.0,90,100,8.79,overcast clouds
343,Beidao,CN,34.5686,105.8933,36.36,31,55,3.31,broken clouds
